Nanogrid 1,Nanogrid 2,Nanogrid 3,Nanogrid 4
-2.5705841792546993e-15,-1.6917793407591534e-09,-4.51240078872533e-09,-4.512382984499427e-09
-2.5705841792546993e-15,-2.1916207783673503e-09,-3.89143880703101e-09,-3.8914238285864175e-09
-2.5705841792546993e-15,-2.212948250737421e-09,-3.1784220170947826e-09,-3.178408980732231e-09
-2.5705841792546993e-15,-2.5991374461176086e-09,-5.179839982892205e-09,-5.179820136594597e-09
-2.748219348405646e-15,-2.934927757643758e-09,-6.523252391066089e-09,-6.523228185384494e-09
-1.0178756854070305e-07,-2.7806852419566156e-09,-6.246646663233117e-09,-6.246623654191535e-09
-2.865432772729997e-07,-3.5798623348709096e-09,-5.380000541130746e-09,-5.379980175293355e-09
-2.5705841792546993e-15,-4.067709535558891e-09,-6.570444705060986e-09,-5.354228048547661e-09
-1.5735344621480508e-09,-4.911267375557774e-09,-1.8725302544900862e-08,-7.506173777628527e-09
-9.647647681978099e-08,-6.365846608982389e-09,-4.5568644875805e-08,-1.1479132365512899e-08
-2.8999701296700817e-07,-6.016734642185501e-09,-4.324504528890586e-08,-1.0440058383957247e-08
-4.138754254897825e-08,-6.0833496272719094e-09,-1.2251748234180991e-07,-9.854040494892565e-09
0,-0.0005697885384372024,-1.237078753447901e-07,-1.0951542268655654e-08
0,-0.002868645236589081,-1.7977198876939146e-07,-1.3512376873709035e-08
0,-7.057806373771164e-09,-0.00122184189356664,-0.0030571935987748723
0,-0.0022728111547452787,-0.0007143294811163032,0
0,-6.947204297993842e-09,0,0
-1.1643542164748433e-07,-6.655997702726616e-09,-1.2824458599960196e-08,-1.2720989736927533e-08
-9.392715452110005e-10,-8.981951450621572e-09,-1.1307451701134649e-08,-1.1307409222695927e-08
-2.5705841792546993e-15,-8.873023090237568e-09,-9.988750897426619e-09,-9.988714007374658e-09
-2.5705841792546993e-15,-8.189724988459878e-09,-7.75552232369661e-09,-7.75549345366937e-09
-2.5705841792546993e-15,-5.889725741466698e-09,-7.318593471365782e-09,-7.3185643155838455e-09
-2.5705841792546993e-15,-6.437209501457121e-09,-9.201525336889226e-09,-9.20149095919415e-09
-2.5705841792546993e-15,-2.010503214731049e-09,-5.015744408968384e-09,-5.015726252429922e-09
-2.5705841792546993e-15,-2.1698495683943786e-09,-3.3710558032753855e-09,-3.371043700223155e-09
-2.5705841792546993e-15,-2.202025581542799e-09,-2.9575042416597834e-09,-2.957492626503328e-09
-2.5705841792546993e-15,-2.724605208449009e-09,-5.456190829767732e-09,-5.456171088987642e-09
-2.5705841792546993e-15,-1.6416040477760145e-09,-5.023501204127943e-09,-5.023482744881951e-09
-2.5705835671853555e-15,-2.863711887829423e-09,-4.822611648171252e-09,-4.822591761894452e-09
-3.510942253179832e-08,-2.9909280443043068e-09,-7.33729605210133e-09,-7.337267756711982e-09
-2.7035019232717054e-07,-4.212683703997413e-09,-7.092378689884771e-09,-7.094218390134521e-09
-8.902979392530214e-08,-5.052550303473845e-09,-8.678272466010961e-09,-7.663949127888085e-09
-2.3825541644623215e-09,-8.777363196525734e-09,-2.6015251202866756e-08,-1.0094039383869727e-08
-6.657293349850638e-08,-8.46284735368612e-09,-8.832034515725326e-08,-1.1605281757721875e-08
-3.7811455235035743e-07,-7.681808749493947e-09,-9.433525942810912e-08,-1.208325801244198e-08
0,-0.0016566229257647558,-1.8609576669064457e-07,-9.375404319654221e-09
0,-0.0043727619655817415,-0.002454902193848707,-1.2744017630748163e-08
0,0,-0.000112169324104673,-0.0005006657479707361
0,0,0,0
0,0,0,0
0,-7.2538346753730425e-09,-1.152706988268733e-08,0
-3.2772671242201486e-07,-7.66475615179596e-09,-9.138212542583166e-09,-9.13858941026007e-09
-4.876030198584193e-08,-1.0702176587691427e-08,-1.0931420125820848e-08,-1.0931377734920199e-08
-2.570583566604027e-15,-1.1386433831288038e-08,-1.2264070210649155e-08,-1.2264023875528916e-08
-2.5705841792546993e-15,-1.1114337390547898e-08,-1.0100448985000468e-08,-1.0100410107088064e-08
-2.5705841792546993e-15,-9.11727502350488e-09,-8.953106883876166e-09,-8.95307221021459e-09
-2.5705841792546993e-15,-5.714507060509774e-09,-7.63075616060591e-09,-7.630727793068231e-09
-2.5705841792546993e-15,-3.955635036264794e-09,-2.832271795775071e-09,-2.832261449543958e-09
-2.5705841792546993e-15,-3.032852016776497e-09,-2.043890864699497e-09,-2.043882690431221e-09
-2.5705841792546993e-15,-2.9884923167136572e-09,-4.334195504886156e-09,-4.334179690286752e-09
-2.5705841792546993e-15,-3.426497022739243e-09,-5.012424633465054e-09,-5.012405898492935e-09
-2.5705841792546993e-15,-3.2235561312119845e-09,-5.9286795938454265e-09,-5.928658033024011e-09
-2.5705835657056797e-15,-3.2614110107676107e-09,-5.463341685428048e-09,-5.463321805833775e-09
-1.9193760483068275e-11,-4.397719260461751e-09,-5.4794299498907215e-09,-5.479408266798592e-09
-2.6816056861597863e-15,-3.518895137914078e-09,-7.715627838352669e-09,-7.715599195334639e-09
-6.694713236589653e-08,-3.70413555647822e-09,-8.811438597300423e-09,-7.77231968443429e-09
-3.75299531499152e-09,-4.584067415163228e-09,-1.223288156359723e-08,-7.754567701627223e-09
0,-6.698523969692718e-06,-0.00011825404633771852,-7.910270705793718e-09
0,-0.005050541912192938,-0.0007804519608161823,-1.0222951667015292e-08
0,-9.325421241483488e-09,-0.005697304744725255,-0.0015572314591165363
0,-0.0010608370509349178,-0.001545217011810901,0
0,0,0,0
0,0,0,0
0,0,0,0
0,-8.725606293467728e-09,-1.1506065028196703e-08,0
-1.009846557379819e-07,-6.648665951987641e-09,-9.8156423664315e-09,-9.815499684892455e-09
-1.6551999560374765e-08,-7.826008035390528e-09,-1.2961335741475771e-08,-1.2961287412222512e-08
-2.7482193470844186e-15,-7.459773072789297e-09,-1.2028999684225101e-08,-1.2028952547865216e-08
-2.5705841792546993e-15,-7.169561232667041e-09,-7.505436350896468e-09,-7.505407996387844e-09
-2.5705841792546993e-15,-7.538747234946425e-09,-7.583178976170364e-09,-7.583150660665607e-09
-2.5705841792546993e-15,-4.638217573699676e-09,-9.522151247076906e-09,-9.522113683814389e-09
-2.5705841792546993e-15,-1.968952555396669e-09,-3.898556666737326e-09,-3.898541593668379e-09
-2.5705841792546993e-15,-1.7200933731499204e-09,-2.1899490677958247e-09,-2.1899404282010203e-09
-2.5705841792546993e-15,-2.757024460865545e-09,-1.897774751981844e-09,-1.8977680418543314e-09
-2.5705841792546993e-15,-2.6399180969295105e-09,-3.1320657672764283e-09,-3.132053017942684e-09
-2.5705841792546993e-15,-2.999513765173755e-09,-4.747598442547171e-09,-4.747579633504503e-09
-2.7482193485642562e-15,-2.8983116371882944e-09,-5.797491213117361e-09,-5.7974681951736965e-09
-8.383592815075056e-10,-4.355299673393918e-09,-5.578599188076386e-09,-5.578577385596793e-09
-6.209575314689607e-08,-5.8660161643914426e-09,-7.078928100933697e-09,-7.078901363857089e-09
-2.0232091305334193e-08,-7.85669654009594e-09,-1.0143198282552209e-08,-9.995685354083912e-09
-1.5362801838954824e-09,-8.801114014686538e-09,-1.0427253364776667e-08,-7.728555693914852e-09
0,-0.0003424723898431161,-6.584570095382725e-05,-1.114798091298496e-08
0,-0.004469484120922471,-3.9821248392932836e-08,-9.095353435990397e-09
0,-8.7715467620702e-09,-0.004722226556909487,-9.323033038195198e-09
0,-0.0019324215721413314,-0.0011081128154141887,-0.0020760585893229828
0,0,0,0
0,0,0,0
0,0,0,0
0,-7.729867188019575e-09,0,0
-3.015433663636737e-08,-9.027980426341691e-09,-1.1216197872708633e-08,-9.477080493068111e-09
-8.607335281129803e-09,-9.522523133358884e-09,-1.1982327803590812e-08,-1.1982281813573114e-08
-2.5705841793603183e-15,-8.425190754144042e-09,-1.21270760716964e-08,-1.2127030067854682e-08
-2.5705841792546993e-15,-6.929142670904164e-09,-9.668897351084121e-09,-9.668860342420732e-09
-2.5705841792546993e-15,-6.070436544390786e-09,-5.543471478067628e-09,-5.543450151278104e-09
-2.5705841792546993e-15,-3.2791302022797533e-09,-6.775588197798544e-09,-6.775562901666124e-09
-2.5705841792546993e-15,-2.2084190914570745e-09,-3.433668849581353e-09,-3.4336550447678493e-09
-2.5705841792546993e-15,-1.992925732188634e-09,-2.9905269862253143e-09,-2.9905159429001513e-09
-2.5705841792546993e-15,-2.1353026988381614e-09,-2.5155712326961465e-09,-2.515561313890902e-09
-2.5705841792546993e-15,-2.2068824259238876e-09,-4.5088513513820755e-09,-4.508833122729975e-09
-2.5705841792546993e-15,-2.518744537921961e-09,-2.969238000029932e-09,-2.9692274185005562e-09
-5.592528514729675e-10,-2.4480055308171563e-09,-5.142888593522173e-09,-5.142868516835853e-09
-1.880948458043797e-07,-3.1054470006853362e-09,-5.5661044368644896e-09,-5.566083341407668e-09
-1.4923957345386317e-07,-2.592086860560051e-09,-6.084194849223734e-09,-6.084171463455724e-09
-3.6765534766801145e-10,-3.2508752788494136e-09,-1.0182602247360411e-08,-9.682458154406934e-09
-1.377805654649186e-09,-4.236289472781964e-09,-3.0271486110291025e-08,-7.072800104266683e-09
-1.5831874603436362e-08,-6.809473324880607e-09,-1.0661381852475854e-07,-7.850955486595347e-09
-2.817895339190732e-07,-7.4253257499084335e-09,-1.7018615437144432e-07,-1.0245149420994396e-08
0,-0.0007619306031337413,-2.0098399197038873e-07,-1.0312238512182359e-08
0,-0.003953238741044353,-1.954181608178504e-07,-1.0265662056179507e-08
0,-0.0012228759085146637,0,-0.0017795788900060992
0,0,0,0
0,0,0,0
-2.6225140404272643e-08,-7.2047696046289184e-09,0,-1.007245176750301e-08
-9.607086675029779e-08,-7.060008953641335e-09,-1.253362979506389e-08,-1.0965191138638085e-08
-9.301676937173623e-09,-7.505790926255461e-09,-1.0240589708191287e-08,-1.0240550514015285e-08
-2.748219348300027e-15,-8.048232627170491e-09,-1.1021801871422297e-08,-1.102175914222265e-08
-2.5705841792546993e-15,-8.749702726851788e-09,-6.904906711283119e-09,-6.904880287384683e-09
-2.5705841792546993e-15,-8.076967474271728e-09,-5.1774347886430975e-09,-5.1774153434504566e-09
-2.5705841792546993e-15,-4.472383562373518e-09,-3.382728476599392e-09,-3.382716518316455e-09
-2.5705841792546993e-15,-2.761611363953293e-09,-3.5262676625077936e-09,-3.5262534170549204e-09
-2.5705841792546993e-15,-1.974981919808208e-09,-2.5187568263201975e-09,-2.5187479073422693e-09
-2.5705841792546993e-15,-2.000593837739973e-09,-5.198578534851457e-09,-5.198558882634693e-09
-2.5705841792546993e-15,-2.511987362079796e-09,-4.859653010742313e-09,-4.859634066239718e-09
-2.5705841792546993e-15,-2.427136691547159e-09,-7.825536578229916e-09,-7.825505577290318e-09
-2.5705835668682157e-15,-2.7853744527875747e-09,-6.713133916455481e-09,-6.713109636454451e-09
-4.9597251146265975e-09,-2.9742921134901816e-09,-6.784207127103028e-09,-6.78418017617983e-09
-2.285912500225604e-07,-3.4303983058291827e-09,-9.021754958591897e-09,-9.021719911852844e-09
-1.2482440145240576e-07,-4.1259882508924456e-09,-6.6755152373559015e-09,-6.099962091989613e-09
-2.35759233130486e-09,-5.742362456281923e-09,-3.081986624613575e-08,-1.0141711092655175e-08
-1.127904408813493e-08,-5.622738894874476e-09,-9.736034744010626e-08,-9.26668314685627e-09
0,-0.0023012190427474373,-1.5026563110352451e-07,-7.259401276704142e-09
0,-3.987690103400305e-05,-1.8138409356610002e-07,-1.0043352000641493e-08
0,-0.001684644600828974,-1.842179490648177e-07,-1.071069483683357e-08
0,-0.0020469852771890585,-1.6744744106782443e-07,-0.0018265004521086305
0,0,0,0
0,-7.596001095807764e-09,0,0
0,-7.445724720014739e-05,0,-8.585910513873827e-09
-7.749169136266483e-08,-6.379838754612537e-09,-1.1599687278664409e-08,-1.0066571777343074e-08
-3.2928136005323317e-08,-7.53341048584056e-09,-1.2061719421136219e-08,-1.20616735063142e-08
-6.177283016772137e-10,-8.821214640095533e-09,-1.6030606331956808e-08,-1.6030545871357927e-08
-2.5705841792546993e-15,-7.397762012627903e-09,-1.16365744933998e-08,-1.1636530073211717e-08
-2.5705841792546993e-15,-7.216380025343716e-09,-6.791165002940572e-09,-6.79114058775758e-09
-2.5705841792546993e-15,-4.53587421608179e-09,-5.70036150388238e-09,-5.700339411414924e-09
-2.5705841792546993e-15,-3.711605585304057e-09,-3.489325664485795e-09,-3.4893116428012803e-09
-2.5705841792546993e-15,-1.5981149080009548e-09,-2.6167691254939108e-09,-2.616758189190962e-09
-2.5705841792546993e-15,-2.0812902053949415e-09,-2.8079416782262296e-09,-2.807930538783086e-09
-2.5705841792546993e-15,-2.6411155540180206e-09,-3.5072995819517747e-09,-3.5072865400590058e-09
-2.5705841792546993e-15,-2.4809749671289983e-09,-4.545463855944125e-09,-4.545446301074819e-09
-2.5705841797831982e-15,-2.4545344207004032e-09,-5.376094832250719e-09,-5.376074240485776e-09
-7.675852118281426e-08,-2.6824034448939556e-09,-3.849218127991998e-09,-3.8492034308618354e-09
-3.3222035905402616e-08,-2.954584172379609e-09,-5.485718292816261e-09,-5.485697621925782e-09
-5.344317577152697e-08,-3.2378556336948198e-09,-7.269723429206527e-09,-6.568481718475366e-09
-7.47262396911983e-09,-4.076160306485583e-09,-3.194596465964563e-08,-1.2757874557365411e-08
-4.991385552457098e-08,-5.8924626821491125e-09,-9.735399096100068e-08,-1.12045710662339e-08
-2.6272849864224725e-07,-5.853577570883944e-09,-1.4869542073111615e-07,-1.0870812257582559e-08
0,-0.001078346641081206,-1.2801780995256277e-07,-8.692409141528742e-09
0,-0.0020577073678887023,-1.2497455980678965e-07,-1.1636679100232136e-08
0,-0.0027830320179217283,-7.749928225891612e-08,-1.476829480980008e-08
0,-6.649939437538663e-09,-5.0149300950834325e-05,-0.00268062634709993
0,-0.0002032245482914454,-0.0007641846737352013,0
0,-7.661994295892442e-09,0,0
-2.016190974566813e-07,-7.877327054175604e-09,-1.2924538566561058e-08,-1.1305917151320739e-08
-8.713387768540107e-09,-7.484487701743926e-09,-7.61553451788655e-09,-7.615505960294416e-09
-2.5705841797831982e-15,-1.0796902151733355e-08,-1.1956681981875831e-08,-1.1956636905296619e-08
-2.5705841792546993e-15,-1.096386475207942e-08,-9.057201810967936e-09,-9.057167196950829e-09
-2.5705841792546993e-15,-8.175478188044443e-09,-7.600663927708544e-09,-7.600633947948746e-09
-2.5705841792546993e-15,-4.363166486063773e-09,-8.827366233379399e-09,-8.827332760069756e-09
-2.5705841792546993e-15,-2.0876069097688974e-09,-4.187210712311888e-09,-4.18719494226416e-09
